id,Title,Content,original_tv_station_address,_original_tv_station_address,archive_1_name,_archive_1_name,archive_1_url,_archive_1_url,archive_2_name,_archive_2_name,archive_2_URL,_archive_2_URL,station_on_air_date,_station_on_air_date,station_off_air_date,_station_off_air_date,Visual,_Visual,Audio,_Audio,height_from_average_terrain,_height_from_average_terrain,height_from_ground,_height_from_ground,channel_code,_channel_code,archive_name,city,url,timeline,state,original_address,geo_address,geo_date,geo_longitude,geo_latitude,tower_power_statistics,_tower_power_statistics,station_power,_station_power,_,_city,_city,_state,city name,_city name,_encloseme,_pingme,_wp_old_date
352,(107)   Site of the James E. Williams house in 1864,"<!-- wp:paragraph -->
<p>(107)   Site of the James E. Williams house in 1864. Gen. John B. Hood watched the battle of Atlanta from the second floor of this house, on July 22d, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            ( In Oakland Cemetery – North of the cemetery office – halfway between building and north wall of the cemetery)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"(108)   Site of a Confederate fort in a line of works erected July 28th, 1864","<!-- wp:paragraph -->
<p>(108)&nbsp;&nbsp; Site of a Confederate fort in a line of works erected July 28<sup>th</sup>, 1864, to protect the two railroads entering the City from the Southwest. This line extended below East Point.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            (Elevated ground bounded by Green’s Ferry Ave., Lawton St., Sells Ave., and Abbott St.)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,(11) Hardy Ivy’s Cabin,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(11) <span style=""text-decoration: underline;"">Hardy Ivy’s Cabin</span>. Near this spot stood the cabin of hewn logs, erected by Hardy Ivy, the first resident in the present down-town area of Atlanta. Land Lot 51 was purchased by him from James Paden, Jan. 1, 1839. Ivy St. takes its name from this pioneer citizen.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Edgar Lafayette Ivy – grandson of Hardy – told the writer – July 3<sup>rd</sup>, 1937 – that Hardy Ivy built his cabin of hewn logs on the high ground between two hundred and three hundred feet north of Auburn Avenue, at a point – 1. In the middle of Ivy St. 2. Just East of Ivy St. a short distance. 3. Just West of Ivy St. a short distance. This marker would not be far from the correct site if it were emplaced on the Ivy St. front of the new Toll Bldg. – at the North end of same – where the iron fence begins. E.L. Ivy is the son of Henry P. Ivy whose house stood for many years at the N.E. cor. Pryor and Auburn – in Hardy Ivy’s Land Lot 51. This statement by E.L. Ivy is information he derived from his father, and we deem it the …</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"(110)   Confederate fort in line of City defense works during the siege of Atlanta July 22 – Aug. 25, 1864.","<!-- wp:paragraph -->
<p>(110)   Confederate fort in line of City defense works during the siege of Atlanta July 22 – Aug. 25, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            (High hill bounded by Kennedy, Sunset, Jett, and Elm Sts., in Land Lot 111 of the 14<sup>th</sup> 1<sup>st</sup>., Fulton County. This is possibly the best-preserved fort in the city – even a better one than fort Walker in Grant Park. The ground has never been disturbed and is well worth a trip out  there to see it)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(111) Site of Engine House No. 2,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(111) Site of Engine House No. 2 - Mechanic's Fire Company. Organized Dec. 10 1856. Used as a prison during the occupation of the city by Federal forces, September through November 1864. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Southeastern Corner Washington Street and Georgia Railroad.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(111) Site of Engine House No. 2 - Used as a prison during the occupation of the city by Federal forces, September through November 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(East side Washington Street between Railroad and Hunter Street.) (E-6)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"(112) Site of the Residence of James M. Calhoun, Mayor of Atlanta, 1862-1865","<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(112) Site of the Residence of James M. Calhoun, Mayor of Atlanta, 1862-1865. Used as headquarters by Maj. General John W. Geary, division commander of the Federal 20<sup>th</sup> Corps, during the occupation of the city by federal forces, September 2<sup>nd</sup> – November 15, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Southwest corner, Washington and Produce Row – the latter being a prolongation of Alabama Street.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(112) General John W. Geary's headquarters during occupation of City by the Federal forces. 1864. (Northwest corner Washington and Hunter Street) (E-6)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,(113) Route of Hardee’s Corps – July 22nd 1864,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(113) Route of Hardee’s Corps – July 22<sup>nd</sup> 1864</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>On this, the old Fayetteville road, the troops of Lt. general William J. Hardee’s Corps, having crossed Entrenchment Creek at Cobb’s Hill south of this point, marched toward the flank and rear of the Federal Army of the Tennessee in East Atlanta.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Cleburne’s and Maney’s divisions took the left fork and Walker’s and Kate’s divisions, the Right – as did the cavalry of Major General Joseph Wheeler, en route to Decatur.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(On Boulder Crest Drive – East side of same – at forks of the road north of the Akers house)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,(114) Terry’s Mill Pond,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(114) Terry’s Mill Pond</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In the low ground south of this road the impounded water of Sugar Creek was known as Terry’s Mill Pond – 1842-1870. The mill, which stood some distance down stream, was burned by Reilly’s Brigade, Cox’s Division of the Federal 23d Corps, July 27 1864. It was rebuilt after the war.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(On Glenwood Avenue, one mile east of East Atlanta P.O. – where Glenwood crosses Sugar Creek – near Walker Monument.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(My understanding is that a number of these East Atlanta markers will be setup by DeKalb County organizations --- Kurtz)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(114) Site of Terry's Mill Pond. Severe fighting here during battle of Atlanta (Near Walker Monument) (G-7)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,(115) This house was built by Solomon Goodwin and his Indian neighbors in 1831.,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(115) This house was built by Solomon Goodwin and his Indian neighbors in 1831. It still bears marks of vandalism by Federal soldiers who occupied the house in the summer of 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(In yard of old Goodwin House – Goodwin’s Crossing – Peachtree Road – Across same from a group of stores. This house is a little south of Hospital 48 and is in land lot 239 of the 18<sup>th</sup> district, DeKalb County.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,"(116) Here was located the now vanished town of Old Cross Keys – Circa, 1845-1870.","<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(116) Here was located the now vanished town of Old Cross Keys – Circa, 1845-1870. James Reeves was storekeeper and Postmaster.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>On July 18<sup>th</sup>, 1864, troops of the Federal 16<sup>th</sup> and 23<sup>rd</sup> Corps passed this way, en route to Atlanta – the 16<sup>th</sup> turned eastward here – the 23d southward. General W.T. Sherman rode with the 23<sup>rd</sup> Corpse.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(At crossroads – (near large oak tree) north of H. Cobb Caldwell’s residence on Peachtree Road. Old Cross Keys site is not on Peachtree Road, however, but on the road to the left of Caldwell house as you face toward its front.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
